date;total;cas
15.févr;4409828;0
16.févr;4409828;0
17.févr;4409828;0
18.févr;4409828;0
19.févr;4409828;0
20.févr;4409828;0
21.févr;4411059;1231
22.févr;4411059;0
23.févr;4411059;0
24.févr;4411059;0
25.févr;4411059;0
26.févr;4411059;0
27.févr;4411059;0
28.févr;4412439;1380
01.mars;4412439;0
02.mars;4412439;0
03.mars;4412439;0
04.mars;4412439;0
05.mars;4412439;0
06.mars;4412439;0
07.mars;4413911;1472
08.mars;4413911;0
09.mars;4413911;0
